"Date","AMD.Open","AMD.High","AMD.Low","AMD.Close","AMD.Volume","AMD.Adjusted","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted","SBUX.Open","SBUX.High","SBUX.Low","SBUX.Close","SBUX.Volume","SBUX.Adjusted","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted","ITUB.Open","ITUB.High","ITUB.Low","ITUB.Close","ITUB.Volume","ITUB.Adjusted","FB.Open","FB.High","FB.Low","FB.Close","FB.Volume","FB.Adjusted","NVDA.Open","NVDA.High","NVDA.Low","NVDA.Close","NVDA.Volume","NVDA.Adjusted","F.Open","F.High","F.Low","F.Close","F.Volume","F.Adjusted","BAC.Open","BAC.High","BAC.Low","BAC.Close","BAC.Volume","BAC.Adjusted","T.Open","T.High","T.Low","T.Close","T.Volume","T.Adjusted","XOM.Open","XOM.High","XOM.Low","XOM.Close","XOM.Volume","XOM.Adjusted","VALE.Open","VALE.High","VALE.Low","VALE.Close","VALE.Volume","VALE.Adjusted","GSPC.Open","GSPC.High","GSPC.Low","GSPC.Close","GSPC.Volume","GSPC.Adjusted"
"2018-03-01",12.26,12.82,9.79,10.05,1483511900,10.05,93.989998,97.239998,87.080002,91.269997,750754800,86.98336,57,60.700001,55.68,57.889999,185897700,53.547314,44.634998,45.875,41.235001,41.945,2854910800,40.170261,8.601264,8.991481,8.211047,8.573784,329458687,7.143261,179.009995,186.100006,149.020004,159.789993,996201700,159.789993,60.477501,63.625,54.25,57.897499,1411844000,57.392815,10.65,11.44,10.14,11.08,1007233600,9.603457,32.07,33.049999,29.01,29.99,1488464200,27.377979,27.424471,28.557402,26.012085,26.925982,671206169,18.708572,75.529999,76.980003,72.669998,74.610001,356741300,59.592224,13.85,13.96,11.93,12.72,462748600,9.692218,2715.219971,2801.899902,2585.889893,2640.870117,76369800000,2640.870117
"2018-04-01",9.99,11.36,9.04,10.88,1163360900,10.88,90.470001,97.900002,87.510002,93.519997,668130700,89.127686,57.52,60.18,55.380001,57.57,178446500,53.251324,41.66,44.735001,40.157501,41.314999,2664617200,39.56691,8.568288,8.66172,7.864798,7.98571,286353093,6.655441,157.809998,177.100006,150.509995,172,750072700,172,57.185001,59.8125,52.575001,56.224998,1114400800,55.734894,11.06,11.73,10.7,11.24,882033000,9.742134,29.799999,31.17,28.75,29.92,1471183500,27.416571,26.873112,27.484894,24.52417,24.697886,869468550,17.16046,74.269997,80.900002,72.160004,77.75,285826800,62.100201,12.83,14.18,12.35,13.84,403535500,10.664641,2633.449951,2717.48999,2553.800049,2648.050049,69648590000,2648.050049
"2018-05-01",10.83,13.95,10.77,13.73,1020602700,13.73,93.209999,99.989998,92.449997,98.839996,509417900,94.197815,57.669998,59.040001,55.540001,56.669998,150516400,52.418831,41.602501,47.592499,41.317501,46.717499,2483905200,44.740829,7.980214,8.007694,6.232481,6.347898,499688741,5.292153,172,192.720001,170.229996,191.779999,401144100,191.779999,56.142502,65.125,55.549999,63.047501,1197824000,62.497921,11.25,11.74,10.97,11.55,701227100,10.145136,29.92,31.360001,28.43,29.040001,1414580700,26.610203,24.735649,24.856495,23.542295,24.410875,844593634,17.282141,77.260002,82.650002,75.400002,81.239998,299337700,64.887733,13.91,15.24,13.36,13.6,476269600,10.479705,2642.959961,2742.23999,2594.620117,2705.27002,75617280000,2705.27002
"2018-06-01",13.98,17.34,13.92,14.99,1632781900,14.99,99.279999,102.690002,97.260002,98.610001,602585200,94.385963,56.84,57.939999,47.369999,48.849998,338561600,45.421745,46.997501,48.549999,45.182499,46.2775,2110498000,44.490345,6.452322,6.611707,5.452047,5.704864,559836130,4.757378,193.070007,203.550003,186.429993,194.320007,387265600,194.320007,63.5,67.300003,58.752499,59.224998,878554000,58.745041,11.67,12.15,11.03,11.07,762713500,9.723518,29.49,30.41,28.01,28.190001,1377574500,25.936863,24.531721,26.080059,23.716011,24.252266,1628024559,17.169846,81.870003,83.790001,79.300003,82.730003,257136500,66.747581,13.79,14.73,12.28,12.82,507404800,9.878663,2718.699951,2791.469971,2691.98999,2718.370117,77439710000,2718.370117
"2018-07-01",14.8,20.18,14.74,18.33,1456419400,18.33,98.099998,111.150002,98,106.080002,569352300,101.53598,48.639999,52.849998,48.400002,52.389999,244824000,48.71331,45.955002,48.990002,45.855,47.572498,1574765600,45.735344,5.616928,6.990932,5.60044,6.589722,465041457,5.497178,193.369995,218.619995,166.559998,172.580002,647030700,172.580002,58.522499,64.150002,58.314999,61.215,632187600,60.718922,11.02,11.26,9.84,10.04,851569700,8.818802,28.08,31.450001,27.629999,30.879999,1313220000,28.41186,24.29003,24.773415,22.756798,24.146526,1266924744,17.094992,81.889999,84.400002,80.709999,81.510002,204469200,65.763268,12.53,14.68,12.42,14.66,382563600,11.296506,2704.949951,2848.030029,2698.949951,2816.290039,64542170000,2816.290039
"2018-08-01",18.34,27.299999,18,25.17,2201119100,25.17,106.029999,112.779999,104.839996,112.330002,456628100,107.518257,52.240002,54.439999,51.200001,53.450001,198190200,49.698917,49.782501,57.217499,49.327499,56.907501,2801275600,54.709839,6.644683,6.963451,5.501511,5.726848,622333227,4.779207,173.929993,188.300003,170.270004,175.729996,548832700,175.729996,61.532501,70.43,59.68,70.169998,1091783600,69.601364,10.06,10.1,9.35,9.48,858463900,8.443975,31.219999,31.91,30.16,30.93,1076260100,28.457861,24.320242,25.362537,23.957705,24.123867,768886390,17.432068,80.889999,81.589996,76.510002,80.169998,215072500,64.682114,14.31,14.44,12.57,13.2,439961500,10.171479,2821.169922,2916.5,2796.340088,2901.52002,69238220000,2901.52002
"2018-09-01",25.620001,34.139999,25.57,30.889999,3063055900,30.889999,110.849998,115.290001,107.230003,114.370003,480255500,109.892143,53.439999,57.84,53.209999,56.84,177505500,53.218952,57.102501,57.4175,53.825001,56.435001,2715888000,54.445869,5.441055,6.172025,5.413575,6.034625,539063448,5.120595,173.5,173.889999,158.869995,164.460007,500468800,164.460007,70.037498,71.305,64.669998,70.254997,634020000,69.723785,9.53,9.94,9.09,9.25,803729200,8.239112,30.91,31.370001,29.42,29.459999,1036676400,27.105349,24.003021,25.891239,23.776436,25.362537,880875867,18.327139,80.410004,87.360001,79.599998,85.019997,227023600,69.302681,12.82,15.29,12.43,14.84,347270800,11.768826,2896.959961,2940.909912,2864.120117,2913.97998,62492080000,2913.97998
"2018-10-01",30.690001,31.91,16.17,18.209999,2655213100,18.209999,114.75,116.18,100.110001,106.809998,927548000,102.628128,56.91,59.700001,54.709999,58.27,285962000,54.55785,56.987499,58.3675,51.522499,54.715,3158994000,52.786491,6.023633,7.573509,5.913713,7.238252,888585211,6.144274,163.029999,165.880005,139.029999,151.789993,622446300,151.789993,71.040001,73.190002,44.002499,52.7075,1297797600,52.308964,9.43,9.67,8.17,9.55,1300409700,8.506328,29.68,30.790001,25.879999,27.5,1818210500,25.424318,25.42296,25.906343,21.79003,23.172205,1316043024,16.74439,85.349998,86.889999,76.220001,79.68,305909200,64.949875,14.81,16.129999,14.1,15.1,606754200,11.975018,2926.290039,2939.860107,2603.540039,2711.73999,91327930000,2711.73999
"2018-11-01",18.41,22.219999,17.18,21.299999,2140346900,21.299999,107.050003,112.239998,99.349998,110.889999,720228600,106.548386,58.299999,68.980003,58.07,66.720001,326988900,62.46954,54.762501,55.59,42.564999,44.645,3845305600,43.071423,7.342677,7.782358,7.095356,7.691674,484257011,6.531544,151.520004,154.130005,126.849998,140.610001,518151700,140.610001,53.075001,55.5,33.327499,40.857498,1616234000,40.548569,9.54,9.8,8.96,9.41,873823100,8.532195,27.77,29.120001,26.780001,28.4,1119395300,26.25639,23.406343,23.73867,22.167673,23.595165,924776398,17.387478,79.830002,83.75,74.699997,79.5,287081300,64.803146,15.26,15.92,12.55,13.7,448230400,10.864751,2717.580078,2815.149902,2631.090088,2760.169922,80080110000,2760.169922
"2018-12-01",22.48,23.75,16.030001,18.459999,1981674300,18.459999,113,113.419998,93.959999,101.57,944314600,98.014915,67.370003,68.150002,60.419998,64.400002,250212000,60.621086,46.115002,46.235001,36.647499,39.435001,3595690000,38.177807,7.782358,7.798846,6.949711,7.535037,345686685,6.400476,143,147.190002,123.019997,131.089996,558786200,131.089996,43.150002,43.669998,31.115,33.375,1245140800,33.155785,9.71,9.85,7.41,7.65,956262400,6.936376,28.99,29.040001,22.66,24.639999,1812967100,22.780195,23.972811,24.176737,20.241692,21.555891,1268699299,15.884723,80.239998,81.949997,64.650002,68.190002,380647000,56.147449,14.22,14.28,12.55,13.19,411806100,10.460297,2790.5,2800.179932,2346.580078,2506.850098,83522570000,2506.850098
